obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
75.0680,0.0010,75.0680,0.0010,1,,,43.4134567,133256.0,2s2.2p2,3P,2,2s.2p2.(4P).14p,3D*,3,,,L5263,
75.1240,0.0010,75.1240,0.0010,1,,,43.4134567,133156.7,2s2.2p2,3P,2,2s.2p2.(4P).13p,3D*,3,,,L5263,
75.1420,0.0010,75.1420,0.0010,1,,,16.4167130,133097.8,2s2.2p2,3P,1,2s.2p2.(4P).13p,3D*,1,,,L5263,
75.1990,0.0010,75.1990,0.0010,1,,,43.4134567,133023.9,2s2.2p2,3P,2,2s.2p2.(4P).12p,3D*,3,,,L5263,
75.2130,0.0010,75.2130,0.0010,1,,,16.4167130,132972.2,2s2.2p2,3P,1,2s.2p2.(4P).12p,3D*,1,,,L5263,
75.2930,0.0010,75.2930,0.0010,1,,,43.4134567,132857.9,2s2.2p2,3P,2,2s.2p2.(4P).11p,3D*,3,,,L5263,
75.3080,0.0010,75.3080,0.0010,1,,,16.4167130,132804.4,2s2.2p2,3P,1,2s.2p2.(4P).11p,3D*,1,,,L5263,
75.4210,0.0010,75.4210,0.0010,2,,,43.4134567,132632.5,2s2.2p2,3P,2,2s.2p2.(4P).10p,3D*,3,,,L5263,
75.4390,0.0010,75.4390,0.0010,1,,,16.4167130,132573.8,2s2.2p2,3P,1,2s.2p2.(4P).10p,3D*,1,,,L5263,
75.5960,0.0010,75.5960,0.0010,3,,,43.4134567,132325.5,2s2.2p2,3P,2,2s.2p2.(4P).9p,3D*,3,,,L5263,
75.6170,0.0010,75.6163,0.0007,2,,,16.4167130,132263.1,2s2.2p2,3P,1,2s.2p2.(4P).9p,3D*,1,,,L5263,
75.6310,0.0010,75.6317,0.0007,1,,,43.4134567,132263.1,2s2.2p2,3P,2,2s.2p2.(4P).9p,3D*,1,,,L5263,
75.8510,0.0010,75.8510,0.0010,4,,,43.4134567,131880.8,2s2.2p2,3P,2,2s.2p2.(4P).8p,3D*,3,,,L5263,
75.8640,0.0010,75.8622,0.0007,3,,,16.4167130,131834.3,2s2.2p2,3P,1,2s.2p2.(4P).8p,3D*,1,,,L5263,
75.8760,0.0010,75.8778,0.0007,2,,,43.4134567,131834.3,2s2.2p2,3P,2,2s.2p2.(4P).8p,3D*,1,,,L5263,
76.2350,0.0010,76.2350,0.0010,4,,,43.4134567,131216.8,2s2.2p2,3P,2,2s.2p2.(4P).7p,3D*,3,,,L5263,
76.2520,0.0010,76.2526,0.0007,3,,,16.4167130,131159.4,2s2.2p2,3P,1,2s.2p2.(4P).7p,3D*,1,,,L5263,
76.2690,0.0010,76.2684,0.0007,3,,,43.4134567,131159.4,2s2.2p2,3P,2,2s.2p2.(4P).7p,3D*,1,,,L5263,
76.8570,0.0010,76.8570,0.0010,4,,,43.4134567,130155.2,2s2.2p2,3P,2,2s.2p2.(4P).6p,3D*,3,,,L5263,
76.8930,0.0010,76.8925,0.0007,4,,,16.4167130,130068.1,2s2.2p2,3P,1,2s.2p2.(4P).6p,3D*,1,,,L5263,
76.9080,0.0010,76.9085,0.0007,5,,,43.4134567,130068.1,2s2.2p2,3P,2,2s.2p2.(4P).6p,3D*,1,,,L5263,
77.9680,0.0010,77.9680,0.0010,8,,,43.4134567,128301.2,2s2.2p2,3P,2,2s.2p2.(4P).5p,3D*,3,,,L5263,
77.9930,0.0010,77.9930,0.0010,7,,,43.4134567,128260.0,2s2.2p2,3P,2,2s.2p2.(4P).5p,3D*,2,,,L5263,
78.0130,0.0010,78.0135,0.0005,7,,,0.0000000,128182.9,2s2.2p2,3P,0,2s.2p2.(4P).5p,3D*,1,,,L5263,
78.0240,0.0010,78.0235,0.0005,7,,,16.4167130,128182.9,2s2.2p2,3P,1,2s.2p2.(4P).5p,3D*,1,,,L5263,
78.0400,0.0010,78.0400,0.0005,9,,,43.4134567,128182.9,2s2.2p2,3P,2,2s.2p2.(4P).5p,3D*,1,,,L5263,
80.2710,0.0010,80.2710,0.0010,8,,,43.4134567,124621.4,2s2.2p2,3P,2,2s.2p2.(4P).4p,3D*,3,,,L5263,
80.2810,0.0010,80.2818,0.0007,10,,,16.4167130,124577.7,2s2.2p2,3P,1,2s.2p2.(4P).4p,3D*,2,,,L5263,
80.3000,0.0010,80.2992,0.0007,14,,,43.4134567,124577.7,2s2.2p2,3P,2,2s.2p2.(4P).4p,3D*,2,,,L5263,
80.3150,0.0010,80.3136,0.0006,6,,,0.0000000,124511.9,2s2.2p2,3P,0,2s.2p2.(4P).4p,3D*,1,,,L5263,
80.3240,0.0010,80.3242,0.0006,6,,,16.4167130,124511.9,2s2.2p2,3P,1,2s.2p2.(4P).4p,3D*,1,,,L5263,
80.3370,0.0020,80.3416,0.0006,6,,,43.4134567,124511.9,2s2.2p2,3P,2,2s.2p2.(4P).4p,3D*,1,,,L5263,
86.930,0.020,86.91,0.03,47w*,,,0.0000000,115060,2s2.2p2,3P,0,2s.2p2.(4P).3p,3D*,1,,,L5263,
86.930,0.020,86.92,0.03,47w*,,,16.4167130,115060,2s2.2p2,3P,1,2s.2p2.(4P).3p,3D*,1,,,L5263,
86.930,0.020,86.92,0.04,47w*,,,16.4167130,115070,2s2.2p2,3P,1,2s.2p2.(4P).3p,3D*,2,,,L5263,
86.930,0.020,86.93,0.05,47w*,,,43.4134567,115080,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,3,,,L5263,
86.930,0.020,86.94,0.04,47w*,,,43.4134567,115070,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,2,,,L5263,
86.930,0.020,86.94,0.03,47w*,,,43.4134567,115060,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,1,,,L5263,
94.518746,0.000006,94.518745,0.000004,7800,3.8e+08,C+,0.0000000,105799.119,2s2.2p2,3P,0,2s.2p3,3S*,1,,T5520LS,L12129,
94.533418,0.000006,94.533414,0.000003,17000,1.14e+09,C+,16.4167130,105799.119,2s2.2p2,3P,1,2s.2p3,3S*,1,,T5520LS,L12129,
