Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
4.2988,0.0005,4.2988,0.0004,a*,6.8e+11,D+,63.395090,-,2 326 280,2s22p,2P°,3/2,1s2s<sup>2</sup>2p<sup>2</sup>,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.2988,0.0005,4.2989,0.0004,a*,5.5e+11,D+,0.000000,-,2 326 190,2s22p,2P°,1/2,1s2s<sup>2</sup>2p<sup>2</sup>,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.2988,0.0005,4.2990,0.0004,a*,2.7e+11,D+,63.395090,-,2 326 190,2s22p,2P°,3/2,1s2s<sup>2</sup>2p<sup>2</sup>,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3060,0.0004,4.3060,0.0004,a*,2.5e+11,D+,0.000000,-,2 322 360,2s22p,2P°,1/2,1s2s<sup>2</sup>2p<sup>2</sup>,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3060,0.0004,4.3061,0.0004,a*,3.0e+11,D+,63.395090,-,2 322 360,2s22p,2P°,3/2,1s2s<sup>2</sup>2p<sup>2</sup>,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3060,0.0004,4.3061,0.0004,a*,4.9e+10,D+,63.395090,-,2 322 360,2s22p,2P°,3/2,1s2s<sup>2</sup>2p<sup>2</sup>,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3149,0.0004,a*,1.1e+11,E,43 002.8,-,2 360 540,2s2p2,4P,1/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3149,0.0004,a*,2.1e+11,E,43 002.8,-,2 360 540,2s2p2,4P,1/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3150,0.0004,a*,2.5e+11,E,43 053.2,-,2 360 540,2s2p2,4P,5/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3150,0.0004,a*,8.e+10,E,43 053.2,-,2 360 540,2s2p2,4P,5/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
