Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p4.(3P).5s,2P,3/2,,303974.2630,,0.003,  64                            :    34  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(3P).5s,2P,1/2,,304440.2089,,0.003,  92                            :     7  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(1D).3d,2G,9/2,,305364.004,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).3d,2G,7/2,,305365.116,,0.004, 100                                                              ,L9088
2s2.2p4.(1S).3p,2P*,3/2,,305398.5968,,0.003,  92                            :     5  2s2.2p4.(3P).5p    2P*   ,L9088
2s2.2p4.(1S).3p,2P*,1/2,,305408.498,,0.005,  93                                                              ,L9088
2s2.2p4.(1D).3d,2P,3/2,,305566.923,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).3d,2P,1/2,,305582.249,,0.005,  97                                                              ,L9088
2s2.2p4.(1D).3d,2S,1/2,,306011.056,,0.003,  98                                                              ,L9088
2s2.2p4.(1D).3d,2D,5/2,,306243.4077,,0.003,  96                                                              ,L9088
2s2.2p4.(1D).3d,2D,3/2,,306262.755,,0.004,  96                                                              ,L9088
2s2.2p4.(1D).3d,2F,5/2,,306687.271,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).3d,2F,7/2,,306687.654,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5p,4P*,5/2,,306899.2903,,0.003,  88                            :    11  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,4P*,3/2,,307069.8080,,0.003,  83                            :     9  2s2.2p4.(3P).5p    4S*   ,L9088
2s2.2p4.(3P).5p,4P*,1/2,,307309.4584,,0.003,  85                            :    10  2s2.2p4.(3P).5p    2S*   ,L9088
2s2.2p4.(3P).5p,4D*,7/2,,307240.7001,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5p,4D*,3/2,,307774.6858,,0.003,  63                            :    21  2s2.2p4.(3P).5p    2D*   ,L9088
2s2.2p4.(3P).5p,4D*,5/2,,307894.8198,,0.003,  46  2D*                       :    45  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,4D*,1/2,,308022.9587,,0.003,  94                                                              ,L9088
2s2.2p4.(3P).5p,2D*,5/2,,307420.8248,,0.003,  53                            :    44  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,2D*,3/2,,308177.1843,,0.003,  65                            :    26  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,2S*,1/2,,308006.8460,,0.003,  82                            :    11  2s2.2p4.(3P).5p    4P*   ,L9088
2s2.2p4.(1D).4s,2D,5/2,,308101.2468,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).4s,2D,3/2,,308101.6076,,0.003,  97                                                              ,L9088
2s2.2p4.(3P).5p,4S*,3/2,,308136.8685,,0.003,  78                            :    12  2s2.2p4.(3P).5p    4P*   ,L9088
2s2.2p4.(3P).5p,2P*,3/2,,308738.0108,,0.003,  75                            :    11  2s2.2p4.(3P).5p    2D*   ,L9088
2s2.2p4.(3P).5p,2P*,1/2,,308976.8347,,0.003,  82                            :     8  2s2.2p4.(3P).5p    2S*   ,L9088
2s2.2p4.(3P).5d,4D,7/2,,312223.5155,,0.003,  79                            :    17  2s2.2p4.(3P).5d    4F    ,L9088
2s2.2p4.(3P).5d,4D,5/2,,312258.0516,,0.003,  75                            :    14  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4D,3/2,,312325.6366,,0.003,  65                            :    26  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4D,1/2,,312414.9292,,0.004,  52                            :    39  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4F,9/2,,312407.6220,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5d,4F,7/2,,312994.3611,,0.003,  57                            :    23  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P).5d,4F,5/2,,313072.2891,,0.003,  52                            :    27  2s2.2p4.(3P).5d    2D    ,L9088
2s2.2p4.(3P).5d,4F,3/2,,313128.5294,,0.003,  63                            :    21  2s2.2p4.(3P).5d    2P    ,L9088
2s2.2p4.(3P).5d,2F,7/2,,312440.6573,,0.003,  73                            :    26  2s2.2p4.(3P).5d    4F    ,L9088
2s2.2p4.(3P).5d,2F,5/2,,313346.0878,,0.003,  33                            :    27  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,2D,5/2,,312504.5327,,0.003,  55                            :    23  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P).5d,2D,3/2,,312573.7745,,0.003,  39                            :    30  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4P,1/2,,312585.170,,0.004,  51                            :    35  2s2.2p4.(3P).5d    2P    ,L9088
2s2.2p4.(3P).5d,4P,3/2,,313021.8155,,0.003,  40                            :    27  2s2.2p4.(3P).5d    4D    ,L9088
2s2.2p4.(3P).5d,4P,5/2,,313138.5238,,0.003,  41                            :    30  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P<2>).5f,2[4]*,9/2,,312763.8929,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[4]*,7/2,,312765.4821,,0.004,  94                            :     6  2s2.2p4.(3P<2>).5f 2[3]* ,L9088
2s2.2p4.(3P<2>).5f,2[3]*,7/2,,312771.9922,,0.005,  94                            :     6  2s2.2p4.(3P<2>).5f 2[4]* ,L9088
2s2.2p4.(3P<2>).5f,2[3]*,5/2,,312772.4309,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[2]*,3/2,,312804.0268,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[2]*,5/2,,312804.7127,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[5],9/2,,312810.675,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[5],11/2,,312810.682,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[4],7/2,,312811.580,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[4],9/2,,312811.604,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[5]*,11/2,,312816.6500,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[5]*,9/2,,312816.689,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[3],5/2,,312824.761,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[3],7/2,,312824.776,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[6],11/2,,312833.415,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[6],13/2,,312833.433,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[2],3/2,,312843.10,,0.03, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[2],5/2,,312843.122,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[1]*,1/2,,312843.6043,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[1]*,3/2,,312844.5547,,0.007, 100                                                              ,L9088
2s2.2p4.(3P).6s,4P,5/2,,312903.4650,,0.003,  87                            :     7  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).6s,4P,3/2,,313652.1424,,0.003,  62                            :    36  2s2.2p4.(3P).6s    2P    ,L9088
2s2.2p4.(3P).6s,4P,1/2,,313700.1049,,0.003,  78                            :    22  2s2.2p4.(3P).6s    2P    ,L9088
2s2.2p4.(3P).5d,2P,1/2,,313006.2024,,0.004,  55                            :    34  2s2.2p4.(3P).5d    4D    ,L9088
2s2.2p4.(3P).5d,2P,3/2,,313425.5082,,0.003,  48                            :    28  2s2.2p4.(3P).5d    2D    ,L9088
2s2.2p4.(3P).6s,2P,3/2,,313180.2149,,0.003,  52                            :    29  2s2.2p4.(3P).6s    4P    ,L9088
2s2.2p4.(3P).6s,2P,1/2,,314018.9129,,0.003,  78                            :    22  2s2.2p4.(3P).6s    4P    ,L9088
2s2.2p4.(3P<1>).5f,2[2]*,3/2,,313419.0375,,0.02,  99                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[2]*,5/2,,313420.0366,,0.006,  99                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[4]*,9/2,,313431.469,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[4]*,7/2,,313432.262,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[3],5/2,,313457.5072,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[3],7/2,,313457.5580,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[5],9/2,,313461.954,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[5],11/2,,313461.962,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[3]*,7/2,,313469.9028,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[3]*,5/2,,313470.4054,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[4],7/2,,313480.181,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[4],9/2,,313480.213,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<0>).5f,2[3]*,7/2,,313718.9516,,0.007, 100                                                              ,L9088
2s2.2p4.(3P<0>).5f,2[3]*,5/2,,313719.3496,,0.013, 100                                                              ,L9088
2s2.2p4.(3P<0>).5g,2[4],7/2,,313744.493,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<0>).5g,2[4],9/2,,313744.54,,0.03, 100                                                              ,L9088
2s2.2p4.(3P).6p,4P*,5/2,,314927.6979,,0.004,  83                            :    16  2s2.2p4.(3P).6p    4D*   ,L9088
2s2.2p4.(3P).6p,4P*,3/2,,315040.109,,0.004,  70                            :    17  2s2.2p4.(3P).6p    4S*   ,L9088
2s2.2p4.(3P).6p,4P*,1/2,,315600.112,,0.005,  50                            :    26  2s2.2p4.(3P).6p    2P*   ,L9088
2s2.2p4.(3P).6p,4D*,7/2,,315099.9990,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).6p,4D*,5/2,,315730.9311,,0.004,  56                            :    30  2s2.2p4.(3P).6p    2D*   ,L9088
2s2.2p4.(3P).6p,4D*,1/2,,315821.061,,0.004,  68                            :    23  2s2.2p4.(3P).6p    2S*   ,L9088
2s2.2p4.(3P).6p,2D*,5/2,,315202.7541,,0.004,  69                            :    28  2s2.2p4.(3P).6p    4D*   ,L9088
2s2.2p4.(3P).6p,2D*,3/2,,316052.5791,,0.004,  47                            :    14  2s2.2p4.(3P).6p    4D*   ,L9088
2s2.2p4.(3P).6p,2S*,1/2,,315241.372,,0.004,  45  4P*                       :    32  2s2.2p4.(3P).6p    2S*   ,L9088
2s2.2p4.(3P).6p,4S*,3/2,,315854.611,,0.004,  53                            :    30  2s2.2p4.(3P).6p    2D*   ,L9088
2s2.2p4.(1D).4p,2F*,5/2,,316882.1781,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).4p,2F*,7/2,,316897.1647,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).4p,2P*,3/2,,317663.1046,,0.003,  63                            :    13  2s2.2p4.(3P).7p    2P*   ,L9088
2s2.2p4.(1D).4p,2P*,1/2,,317828.3130,,0.003,  65                            :    17  2s2.2p4.(3P).6p    2P*   ,L9088
2s2.2p4.(1D).4p,2D*,5/2,,317781.404,,0.005, 100                                                              ,L9088
2s2.2p4.(1D).4p,2D*,3/2,,317781.767,,0.006,  94                                                              ,L9088
2s2.2p4.(3P).6d,4D,7/2,,317840.185,,0.004,  74                            :    22  2s2.2p4.(3P).6d    4F    ,L9088
2s2.2p4.(3P).6d,4D,5/2,,317862.246,,0.005,  69                            :    18  2s2.2p4.(3P).6d    4P    ,L9088
2s2.2p4.(3P).6d,4D,3/2,,317907.053,,0.005,  55                            :    35  2s2.2p4.(3P).6d    4P    ,L9088
2s2.2p4.(3P).6d,4D,1/2,,318534,,3,  52                            :    36                     2P    ,L12157
2s2.2p4.(3P).6d,4F,9/2,,317940.958,,0.004, 100                                                              ,L9088
2s2.2p4.(3P).6d,4F,7/2,,318546.99,,0.2,  55                            :    25  2s2.2p4.(3P).6d    4D    ,L9088
2s2.2p4.(3P).6d,4F,5/2,,318598.6,,0.3,  40                            :    24                     2D    ,L12157
2s2.2p4.(3P).6d,4F,3/2,,318652,,3,  64                            :    30                     2P    ,L12157
2s2.2p4.(3P).6d,2F,7/2,,317961.309,,0.004,  76                            :    24  2s2.2p4.(3P).6d    4F    ,L9088
2s2.2p4.(3P).6d,2F,5/2,,318862.91,,0.14,  31                            :    24                     4P    ,L12157
2s2.2p4.(3P).6d,4P,1/2,,317963,,10,  57                            :    34                     4D    ,L12157
2s2.2p4.(3P).6d,4P,3/2,,318571.9,,0.4,  36                            :    33                     4D    ,L12157
2s2.2p4.(3P).6d,2D,5/2,,318000.208,,0.007,  59                            :    21  2s2.2p4.(3P).6d    2F    ,L9088
2s2.2p4.(3P).6d,2D,3/2,,318039.7,,0.3,  40                            :    30                     2P    ,L12157
2s2.2p4.(3P<2>).6f,2[4]*,9/2,,318156.0520,,0.003, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[4]*,7/2,,318157.1429,,0.003,  92                            :     8  2s2.2p4.(3P<2>).6f 2[3]* ,L9088
2s2.2p4.(3P<2>).6f,2[3]*,7/2,,318160.9720,,0.003,  92                            :     8  2s2.2p4.(3P<2>).6f 2[4]* ,L9088
2s2.2p4.(3P<2>).6f,2[3]*,5/2,,318161.2874,,0.004,  99                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[2]*,3/2,,318179.865,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[2]*,5/2,,318180.3002,,0.004,  99                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[5],9/2,,318183.6797,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[5],11/2,,318183.6919,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[4],7/2,,318184.2181,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[4],9/2,,318184.2286,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[5]*,11/2,,318186.1197,,0.003, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[5]*,9/2,,318186.1608,,0.003, 100                                                              ,L9088
2s2.2p4.(3P<2>).6h,2[5]*,,,318190.507,,0.012, 100                                                              ,L9088
2s2.2p4.(3P<2>).6h,2[6]*,,,318190.691,,0.014, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[3],5/2,,318191.9290,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[3],7/2,,318191.9428,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).6h,2[4]*,,,318194.306,,0.011, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[6],11/2,,318196.72,,0.04, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[6],13/2,,318196.7724,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).6h,2[7]*,,,318197.60,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<2>).6h,2[3]*,,,318200.066,,0.015, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[1]*,1/2,,318201.7,,0.2, 100                                                              ,L9088
2s2.2p4.(3P<2>).6f,2[1]*,3/2,,318202.217,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[2],3/2,,318202.3663,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<2>).6g,2[2],5/2,,318202.3922,,0.007, 100                                                              ,L9088
2s2.2p4.(3P).7s,4P,5/2,,318256.108,,0.005,  98                                                              ,L9088
2s2.2p4.(3P).7s,4P,3/2,,318940.046,,0.006,  73                            :    26  2s2.2p4.(3P).7s    2P    ,L9088
2s2.2p4.(3P).7s,4P,1/2,,318990.64,,0.11,  61                            :    38                     2P    ,L12157
2s2.2p4.(3P).7s,2P,3/2,,318386.291,,0.09,  70                            :    25  2s2.2p4.(3P).7s    4P    ,L9088
