Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4p6.5s,2S,1/2,2,,0.00,,,L3465
4p6.4d,2D,3/2,4,,14555.90,,0.01,L3465
4p6.4d,2D,5/2,6,,14836.24,,0.01,L3465
4p6.5p,2P*,1/2,2,,23715.19,,0.01,L3465
4p6.5p,2P*,3/2,4,,24516.65,,0.01,L3465
4p6.6s,2S,1/2,2,,47736.53,,0.01,L3465
4p6.5d,2D,3/2,4,,53286.31,,0.01,L3465
4p6.5d,2D,5/2,6,,53372.97,,0.01,L3465
4p6.6p,2P*,1/2,2,,55769.7,,0.3,L3465
4p6.6p,2P*,3/2,4,,56057.9,,0.3,L3465
4p6.4f,2F*,7/2,8,,60990.04,,0.10,L9487
4p6.4f,2F*,5/2,6,,60991.34,,0.10,L9487
4p6.7s,2S,1/2,2,,64964.10,,0.02,L3465
4p6.6d,2D,3/2,4,,67522.87,,0.02,L3465
4p6.6d,2D,5/2,6,,67563.15,,0.02,L3465
4p6.7p,2P*,1/2,2,,68679.34,,0.20,L13983
4p6.7p,2P*,3/2,4,,68817.12,,0.20,L13983
4p6.5f,2F*,5/2,6,,71065.8,,0.1,L3465
4p6.5f,2F*,7/2,8,,71065.8,,0.1,L3465
4p6.5g,2G,7/2,8,,71357.8,,0.1,L3465
4p6.5g,2G,9/2,10,,71357.8,,0.1,L3465
4p6.8s,2S,1/2,2,,73237.1,,0.1,L3465
4p6.7d,2D,3/2,4,,74621.3,,0.1,L3465
4p6.7d,2D,5/2,6,,74643.1,,0.1,L3465
4p6.8p,2P*,1/2,2,,,,,
4p6.8p,2P*,3/2,4,,75311.8,,0.1,L3465
4p6.6f,2F*,7/2,8,,76553.4,,0.1,L3465
4p6.6f,2F*,5/2,6,,76553.4,,0.1,L3465
4p6.6g,2G,9/2,10,,76737.7,,0.1,L3465
4p6.6g,2G,7/2,8,,76737.7,,0.1,L3465
4p6.9s,2S,1/2,2,,77857.6,,0.1,L3465
4p6.8d,2D,3/2,4,,78688.8,,0.1,L3465
4p6.8d,2D,5/2,6,,78702.4,,0.1,L3465
4p6.7f,2F*,5/2,6,,79861.3,,0.2,L3465
4p6.7f,2F*,7/2,8,,79861.3,,0.2,L3465
4p6.7g,2G,7/2,8,,79984.3,,0.1,L3465
4p6.7g,2G,9/2,10,,79984.3,,0.1,L3465
4p6.10s,2S,1/2,2,,80701.8,,0.1,L3465
4p6.9d,2D,3/2,4,,81240.2,,0.1,L3465
4p6.9d,2D,5/2,6,[,81249.0,],0.1,L3465
4p6.8f,2F*,7/2,8,,82005.9,,0.2,L3465
4p6.8f,2F*,5/2,6,,82005.9,,0.2,L3465
4p6.8g,2G,7/2,8,,82090.4,,0.1,L3465
4p6.8g,2G,9/2,10,,82090.4,,0.1,L3465
4p6.11s,2S,1/2,2,,82576.1,,0.2,L3465
4p6.10d,2D,5/2,6,,82951.5,,0.3,L3465
4p6.10d,2D,3/2,4,,82953.9,,0.3,L3465
4p6.9f,2F*,5/2,6,,83472.7,,0.2,L3465
4p6.9f,2F*,7/2,8,,83472.7,,0.2,L3465
4p6.9g,2G,9/2,10,[,83533.8,],0.3,L3465
4p6.9g,2G,7/2,8,[,83533.8,],0.3,L3465
4p6.12s,2S,1/2,2,,83879.9,,0.2,L3465
4p6.11d,2D,3/2,4,,84142.0,,0.3,L3465
4p6.11d,2D,5/2,6,,84146.9,,0.3,L3465
4p6.10f,2F*,5/2,6,,84521.0,,0.2,L3465
4p6.10f,2F*,7/2,8,,84521.0,,0.2,L3465
4p6.10g,2G,9/2,10,,84567.0,,0.2,L3465
4p6.10g,2G,7/2,8,,84567.0,,0.2,L3465
4p6.13s,2S,1/2,2,,84819.1,,0.2,L3465
4p6.12d,2D,3/2,4,,85015.5,,0.3,L3465
4p6.12d,2D,5/2,6,,85015.5,,0.3,L3465
4p6.11f,2F*,7/2,8,,85294.8,,0.2,L3465
4p6.11f,2F*,5/2,6,,85294.8,,0.2,L3465
4p6.11g,2G,7/2,8,,85330.3,,0.2,L3465
4p6.11g,2G,9/2,10,,85330.3,,0.2,L3465
4p6.13d,2D,3/2,4,,85668.8,,0.3,L3465
4p6.13d,2D,5/2,6,,85668.8,,0.3,L3465
4p6.12f,2F*,5/2,6,,85883.9,,0.2,L3465
4p6.12f,2F*,7/2,8,,85883.9,,0.2,L3465
4p6.14d,2D,3/2,4,,86174.6,,0.3,L3465
4p6.14d,2D,5/2,6,,86174.6,,0.3,L3465
Sr III (4p6 1S<0>),Limit,---,,,88965.18,,0.02,L13983
