Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d.5s2,a 2D,3/2,4,,0.000,,0.000,0.798,L7610
4d.5s2,a 2D,5/2,6,,530.351,,0.001,1.196,L7610
5s2.5p,z 2P*,1/2,2,,10529.169,,0.001,0.63,L7610
5s2.5p,z 2P*,3/2,4,,11359.757,,0.001,1.34,L7610
4d2.(3F).5s,a 4F,3/2,4,,10937.390,,0.001,0.402,L7610
4d2.(3F).5s,a 4F,5/2,6,,11078.614,,0.001,1.033,L7610
4d2.(3F).5s,a 4F,7/2,8,,11277.928,,0.001,1.242,L7610
4d2.(3F).5s,a 4F,9/2,10,,11532.096,,0.002,1.337,L7610
4d.5s.(3D).5p,z 4F*,3/2,4,,14948.994,,0.001,0.47,L7610
4d.5s.(3D).5p,z 4F*,5/2,6,,15245.803,,0.001,1.08,L7610
4d.5s.(3D).5p,z 4F*,7/2,8,,15712.522,,0.001,1.26,L7610
4d.5s.(3D).5p,z 4F*,9/2,10,,16234.382,,0.002,1.33,L7610
4d2.(3P).5s,a 4P,1/2,2,,15221.633,,0.002,2.61,L7610
4d2.(3P).5s,a 4P,3/2,4,,15328.865,,0.001,1.62,L7610
4d2.(3P).5s,a 4P,5/2,6,,15476.533,,0.001,1.27,L7610
4d2.(3F).5s,a 2F,5/2,6,,15326.741,,0.001,1.15,L7610
4d2.(3F).5s,a 2F,7/2,8,,15864.481,,0.001,1.17,L7610
4d2.(1D).5s,b 2D,3/2,4,,15994.045,,0.001,0.86,L7610
4d2.(1D).5s,b 2D,5/2,6,,16158.865,,0.001,1.22,L7610
4d.5s.(3D).5p,z 2D*,5/2,6,,16066.064,,0.001,1.203,L7610
4d.5s.(3D).5p,z 2D*,3/2,4,,16146.138,,0.001,0.797,L7610
4d.5s.(3D).5p,z 4D*,1/2,2,,16435.907,,0.001,0.01,L7610
4d.5s.(3D).5p,z 4D*,3/2,4,,16597.304,,0.001,1.22,L7610
4d.5s.(3D).5p,z 4D*,5/2,6,,16816.641,,0.001,1.38,L7610
4d.5s.(3D).5p,z 4D*,7/2,8,,17116.156,,0.001,1.42,L7610
4d2.(1G).5s,a 2G,9/2,10,,18499.315,,0.001,1.12,L7610
4d2.(1G).5s,a 2G,7/2,8,,18512.402,,0.001,0.90,L7610
4d.5s.(3D).5p,z 4P*,1/2,2,,18976.366,,0.001,,L7610
4d.5s.(3D).5p,z 4P*,3/2,4,,19027.593,,0.001,,L7610
4d.5s.(3D).5p,z 4P*,5/2,6,,19147.983,,0.001,1.49,L7610
4d2.(3P).5s,a 2P,1/2,2,,19237.608,,0.001,1.18?,L7610
4d2.(3P).5s,a 2P,3/2,4,,19406.146,,0.001,1.28?,L7610
4d.5s.(3D).5p,z 2F*,5/2,6,,21528.579,,0.001,0.854,L7610
4d.5s.(3D).5p,z 2F*,7/2,8,,21915.432,,0.001,1.148,L7610
4d2.(1S).5s,2S,1/2,2,,23465.093,,0.003,,L7610
4d.5s.(1D).5p,y 2D*,3/2,4,,24131.250,,0.002,0.823,L7610
4d.5s.(1D).5p,y 2D*,5/2,6,,24746.573,,0.001,1.088,L7610
4d.5s.(3D).5p,y 2P*,3/2,4,,24480.666,,0.002,1.302,L7610
4d.5s.(3D).5p,y 2P*,1/2,2,,24698.850,,0.002,0.674,L7610
4d.5s.(1D).5p,y 2F*,5/2,6,,24518.751,,0.001,0.964,L7610
4d.5s.(1D).5p,y 2F*,7/2,8,,24899.632,,0.002,1.147,L7610
