obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
89.9916,0.0002,89.991588,0.000004,111121.5,1300,,,1872.5998,112994.097,3d7,a 4F,9/2,3d6.(5D<4>).5f,2[6]*,11/2,10,12,,,L18349c140,
92.3878,0.0002,92.387821,0.000004,108239.4,8000,2.8e+07,D,0.0000,108239.375,3d6.(5D).4s,a 6D,9/2,3d5.(2F1).4s.4p.(3P*),4D*,7/2,10,8,,T6892c83,L18349c140,
92.6204,0.0002,92.621201,0.000004,107967.6,9000,2.6e+08,E,0.0000,107966.642,3d6.(5D).4s,a 6D,9/2,3d5.(4F).4s.4p.(3P*),6D*,9/2,10,10,,T6892c83,L18349c140,
92.6898,0.0002,92.689687,0.000004,107886.8,4000,3.2e+07,D,0.0000,107886.868,3d6.(5D).4s,a 6D,9/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,10,8,,T6892c83,L18349c140,
92.7172,0.0002,92.717428,0.000004,107854.9,9000,7.e+07,E,384.7872,108239.375,3d6.(5D).4s,a 6D,7/2,3d5.(2F1).4s.4p.(3P*),4D*,7/2,8,8,,T6892c83,L18349c140,
92.8110,0.0002,92.811081,0.000004,107745.8,9000,1.0e+08,E,384.7872,108130.542,3d6.(5D).4s,a 6D,7/2,3d5.(4F).4s.4p.(3P*),6D*,5/2,8,6,,T6892c83,L18349c140,
92.8469,0.0002,92.846583,0.000004,107704.2,4000,,,667.6829,108372.239,3d6.(5D).4s,a 6D,5/2,3d6.(3P2).5p,4S*,3/2,6,4,,,L18349c140,
92.9523,0.0002,92.952478,0.000004,107582.1,7000,3.4e+07,D,384.7872,107966.642,3d6.(5D).4s,a 6D,7/2,3d5.(4F).4s.4p.(3P*),6D*,9/2,8,10,,T6892c83,L18349c140,
92.9612,0.0002,92.961260,0.000004,107571.7,9000,2.8e+07,D,667.6829,108239.375,3d6.(5D).4s,a 6D,5/2,3d5.(2F1).4s.4p.(3P*),4D*,7/2,6,8,,T6892c83,L18349c140,
93.0023,0.0002,93.002310,0.000004,107524.2,9000,1.3e+08,E,667.6829,108191.894,3d6.(5D).4s,a 6D,5/2,3d5.(4F).4s.4p.(3P*),6D*,3/2,6,4,,T6892c83,L18349c140,
93.0152,0.0002,93.014926,0.000004,107509.3,5000,,,862.6118,108372.239,3d6.(5D).4s,a 6D,3/2,3d6.(3P2).5p,4S*,3/2,4,4,,,L18349c140,
93.0214,0.0002,93.021455,0.000004,107502.1,9000,7.e+07,E,384.7872,107886.868,3d6.(5D).4s,a 6D,7/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,8,8,,T6892c83,L18349c140,
93.0554,0.0002,93.055406,0.000004,107462.9,9000,5.e+07,D,667.6829,108130.542,3d6.(5D).4s,a 6D,5/2,3d5.(4F).4s.4p.(3P*),6D*,5/2,6,6,,T6892c83,L18349c140,
93.1142,0.0002,93.114041,0.000004,107395.0,2300,,,977.0498,108372.239,3d6.(5D).4s,a 6D,1/2,3d6.(3P2).5p,4S*,3/2,2,4,,,L18349c140,
93.2052,0.0002,93.205860,0.000004,107290.1,9000bl(Fe II)*,,,3117.4877,110406.879,3d7,a 4F,3/2,3d6.(3F2).5p,4F*,3/2,4,4,,,L18349c140,
93.2052,0.0002,93.205894,0.000004,107290.1,9000bl(Fe II)*,,,384.7872,107674.140,3d6.(5D).4s,a 6D,7/2,3d5.(2F1).4s.4p.(3P*),4G*,9/2,8,10,,,L18349c140,
93.2244,0.0002,93.224508,0.000004,107268.0,9000,8.e+07,E,862.6118,108130.542,3d6.(5D).4s,a 6D,3/2,3d5.(4F).4s.4p.(3P*),6D*,5/2,4,6,,T6892c83,L18349c140,
93.2670,0.0002,93.266891,0.000004,107219.1,6000bl(Fe II)*,3.8e+07,D,667.6829,107886.868,3d6.(5D).4s,a 6D,5/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,6,8,,T6892c83,L18349c140,
93.2670,0.0002,93.268048,0.000004,107219.1,6000bl(Fe II)*,,,0.0000,107217.854,3d6.(5D).4s,a 6D,9/2,3d6.(5D).6p,6F*,9/2,10,10,,,L18349c140,
93.2707,0.0002,93.270667,0.000004,107214.8,8000,8.e+07,D,977.0498,108191.894,3d6.(5D).4s,a 6D,1/2,3d5.(4F).4s.4p.(3P*),6D*,3/2,2,4,,T6892c83,L18349c140,
93.4701,0.0002,93.469389,0.000004,106986.0,1600,,,384.7872,107371.685,3d6.(5D).4s,a 6D,7/2,3d5.(2D1).4s.4p.(3P*),4D*,5/2,8,6,,,L18349c140,
93.5517,0.0002,93.551743,0.000004,106892.8,9000,,,0.0000,106892.717,3d6.(5D).4s,a 6D,9/2,3d6.(5D).6p,6F*,11/2,10,12,,,L18349c140,
93.7651,0.0002,93.765133,0.000004,106649.5,9000,4.4e+07,E,0.0000,106649.452,3d6.(5D).4s,a 6D,9/2,3d5.(4F).4s.4p.(3P*),6F*,11/2,10,12,,T6892c83,L18349c140,
94.0193,0.0002,94.019214,0.000004,106361.1,2000,,,0.0000,106361.238,3d6.(5D).4s,a 6D,9/2,3d6.(5D).6p,6D*,9/2,10,10,,,L18349c140,
94.1264,0.0002,94.126644,0.000004,106240.1,11000,7.e+07,E,384.7872,106624.631,3d6.(5D).4s,a 6D,7/2,3d5.(4F).4s.4p.(3P*),6F*,9/2,8,10,,T6892c83,L18349c140,
94.5086,0.0002,94.508683,0.000004,105810.4,11000,4.1e+07,D,667.6829,106478.067,3d6.(5D).4s,a 6D,5/2,3d5.(4F).4s.4p.(3P*),6F*,7/2,6,8,,T6892c83,L18349c140,
94.5808,0.0002,94.579889,0.000005,105729.7,6000bl(Fe II)*,,,667.6829,106398.405,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),2P*,3/2,6,4,,,L18349c140,
94.5808,0.0002,94.580820,0.000004,105729.7,6000bl(Fe II)*,,,862.6118,106592.294,3d6.(5D).4s,a 6D,3/2,3d5.(2D3).4s.4p.(3P*),4P*,5/2,4,6,,,L18349c140,
95.0337,0.0002,95.034045,0.000004,105225.9,10000,,,2430.1369,107655.585,3d7,a 4F,7/2,3d6.(5D).6p,4D*,5/2,8,6,,,L18349c140,
95.2808,0.0002,95.281081,0.000004,104952.9,2100,,,8391.9554,113344.585,3d6.(5D).4s,a 4D,5/2,3d6.(5D<3>).5f,2[3]*,5/2,6,6,,,L18349c140,
96.1117,0.0002,96.110981,0.000004,104045.6,5000,,,3117.4877,107163.871,3d7,a 4F,3/2,3d6.(5D).6p,4P*,5/2,4,6,,,L18349c140,
96.3025,0.0002,96.302482,0.000004,103839.4,3500,,,8391.9554,112231.439,3d6.(5D).4s,a 4D,5/2,3d6.(3G).5p,4F*,7/2,6,8,,,L18349c140,
