obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
,23.4347160426,0.0000000005,426717.353085,,3.1586e+08,AA,0.0000,(426717.3530854),1s,2S,1/2,6p,2P*,3/2,2,4,,T7771,,
,23.4347279561,0.0000000005,426717.136155,,3.1583e+08,AA,0.0000,(426717.1361554),1s,2S,1/2,6p,2P*,1/2,2,2,,T7771,,
,23.7330663920,0.0000000005,421353.053787,,5.5036e+08,AA,0.0000,(421353.05378699),1s,2S,1/2,5p,2P*,3/2,2,4,,T7771,,
,23.7330875061,0.0000000005,421352.678931,,5.5033e+08,AA,0.0000,(421352.6789311),1s,2S,1/2,5p,2P*,1/2,2,2,,T7771,,
,24.3026444338,0.0000000005,411477.854899,,1.0917e+09,AA,0.0000,(411477.8548989),1s,2S,1/2,4p,2P*,3/2,2,4,,T7771,,
,24.3026876757,0.0000000005,411477.122755,,1.0917e+09,AA,0.0000,(411477.1227550),1s,2S,1/2,4p,2P*,1/2,2,2,,T7771,,
,25.6316562565,0.0000000005,390142.560431,,2.6778e+09,AA,0.0000,(390142.5604306),1s,2S,1/2,3p,2P*,3/2,2,4,,T7771,,
,25.6317702737,0.0000000005,390140.824970,,2.6777e+09,AA,0.0000,(390140.8249696),1s,2S,1/2,3p,2P*,1/2,2,2,,T7771,,
,30.3780409484,0.0000000011,329185.151109,,1.0029e+10,AA,0.0000,(329185.15110923),1s,2S,1/2,2p,2P*,3/2,2,4,,T7771,,
,30.3785814724,0.0000000011,329179.293941,,1.0030e+10,AA,0.0000,(329179.2939406),1s,2S,1/2,2p,2P*,1/2,2,2,,T7771,,
,102.524082655,0.000000010,97538.058776,,6.8658e+07,AA,(329179.2939406),(426717.352717),2p,2P*,1/2,6d,2D,3/2,2,4,,T7771,,
,102.524291882,0.000000009,97537.859725,,3.9232e+06,AA,(329179.2939406),(426717.1536654),2p,2P*,1/2,6s,2S,1/2,2,2,,T7771,,
,102.524574585,0.000000010,97537.590772,,4.5764e+07,AA,(329179.762313),(426717.3530854),2s,2S,1/2,6p,2P*,3/2,2,4,,T7771,,
,102.524802607,0.000000010,97537.373842,,4.5768e+07,AA,(329179.762313),(426717.1361554),2s,2S,1/2,6p,2P*,1/2,2,2,,T7771,,
,102.530163594,0.000000010,97532.273913,,8.2376e+07,AA,(329185.15110923),(426717.425022),2p,2P*,3/2,6d,2D,5/2,4,6,,T7771,,
,102.530239605,0.000000010,97532.201608,,1.3729e+07,AA,(329185.15110923),(426717.352717),2p,2P*,3/2,6d,2D,3/2,4,4,,T7771,,
,102.530448857,0.000000009,97532.002556,,7.8495e+06,AA,(329185.15110923),(426717.1536654),2p,2P*,3/2,6s,2S,1/2,4,2,,T7771,,
,108.490747093,0.000000012,92173.759218,,1.2577e+08,AA,(329179.2939406),(421353.053159),2p,2P*,1/2,5d,2D,3/2,2,4,,T7771,,
,108.491151976,0.000000011,92173.415231,,6.8782e+06,AA,(329179.2939406),(421352.709172),2p,2P*,1/2,5s,2S,1/2,2,2,,T7771,,
,108.491297643,0.000000011,92173.291474,,7.9227e+07,AA,(329179.762313),(421353.05378699),2s,2S,1/2,5p,2P*,3/2,2,4,,T7771,,
